State Legal Services Authority,Financial Year,Applications received directly by Legal Service Institutions (A),"Applications
 / orders marked / directed by any Court
 (B)",Applications received including Court Orders (A+B),Applications Decided,Applications Pending,Compensation Awarded in (Rs.)
U. T. Chandigarh,2020-2021,25,7,32,7,32,5150000
Uttar Pradesh,2020-2021,64,0,64,64,0,10049250
Uttarakhand,2020-2021,11,39,50,44,43,11989500
West Bengal,2020-2021,252,89,341,250,33,32350000
Ladakh,2020-2021,0,1,1,0,2,0
Andaman & Nicobar Islands,2021-2022,1,5,6,0,0,0
Andhra Pradesh,2021-2022,16,61,77,62,44,8635000
Arunachal Pradesh,2021-2022,20,22,42,4,7,1750000
Assam,2021-2022,314,206,520,664,676,199213000
Bihar,2021-2022,522,480,1002,785,348,114161500
Chhattisgarh,2021-2022,1322,873,2195,1253,1267,183831795
Dadra & Nagar Haveli,2021-2022,3,2,5,4,0,1150000
Daman & Diu,2021-2022,0,0,0,0,0,0
Delhi,2021-2022,848,1573,2421,2275,1125,423963586
Goa,2021-2022,42,20,62,34,2,250000
Gujarat,2021-2022,645,543,1188,1684,707,148212286
Haryana,2021-2022,47,356,403,364,69,113575000
Himachal Pradesh,2021-2022,56,47,103,62,17,11125000
Jammu & Kashmir,2021-2022,107,40,147,24,4,5350000
Jharkhand,2021-2022,205,361,566,672,1026,122786201
Karnataka,2021-2022,150,347,497,1309,805,30131000
Kerala,2021-2022,307,253,560,139,123,41217912
Lakshadweep,2021-2022,0,0,0,0,0,0
Madhya Pradesh,2021-2022,258,801,1059,1050,486,93489300
Maharashtra,2021-2022,146,81,227,246,210,29068500
Manipur,2021-2022,0,24,24,9,20,0
Meghalaya,2021-2022,95,63,158,75,23,12524000
Mizoram,2021-2022,41,209,250,12,38,3150000
Nagaland,2021-2022,34,0,34,37,26,10077000
Odisha,2021-2022,1497,401,1898,1333,2449,240241000
Puducherry,2021-2022,0,11,11,0,0,3600000
Punjab,2021-2022,324,258,582,485,333,85557500
Rajasthan,2021-2022,818,699,1517,1818,370,231745500
Sikkim,2021-2022,0,56,56,56,0,5925000
Tamil Nadu,2021-2022,504,117,621,194,954,22953346
Telengana,2021-2022,10,92,102,69,60,8770000
Tripura,2021-2022,45,8,53,42,41,11450000
U. T. Chandigarh,2021-2022,7,20,27,17,43,2400000
Uttar Pradesh,2021-2022,103,0,103,103,0,14905000
Uttarakhand,2021-2022,24,86,110,46,84,10454000
West Bengal,2021-2022,204,152,356,246,38,27085000
Ladakh,2021-2022,0,0,0,0,0,0
